,mod_ID,hist_id,PLOT,INVYR,hist_town,hist_location,mod_location,closest,mod_distance,oaks.wt,whiteOak,swampWhiteOak,redOak,chestnutOak,blackOak,hist_latitude,LAT,closest_climate_position,avg_tair_1811,avg_tair_2009,avg_qair_1811,avg_qair_2009,avg_psurf_1811,avg_psurf_2009,avg_precipf_1811,avg_precipf_2009,total_FIA_oak
659,659,562,416,2010,Stacyville,"(45.89597, -68.4966)","(45.94118, -68.71186)","(45.89597, -68.4966)",17.438870760712213,0.0,0.0,0.0,0.0,0.0,0.0,45.89597,45.94118,"(45.75, -68.75)",275.60160788967187,276.88446877884536,0.004509344495982777,0.004769138194906016,99062.56602097602,99055.89602418664,2.7919820539996275e-05,3.7727002199560846e-05,0.0
660,660,528,1992,2010,,"(46.604, -68.621)","(46.31426, -68.70365)","(46.604, -68.621)",32.827427592475225,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.31426,"(46.25, -68.75)",275.48376525460856,276.56153382601804,0.004426552374585649,0.004659678911860365,98267.10253638698,98275.10730415239,2.6753303417048572e-05,3.540535773605276e-05,0.0
661,661,528,1818,2010,,"(46.604, -68.621)","(46.91936, -68.70313)","(46.604, -68.621)",35.6143839760387,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.91936,"(46.75, -68.75)",275.19748348079315,276.2370721999913,0.004351713814356393,0.004617931017188035,98130.11025791951,98140.52351241438,2.6928279341100758e-05,3.4564759607001644e-05,0.0
662,662,528,1818,2010,,"(46.604, -68.621)","(46.91936, -68.70313)","(46.604, -68.621)",35.6143839760387,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.91936,"(46.75, -68.75)",275.19748348079315,276.2370721999913,0.004351713814356393,0.004617931017188035,98130.11025791951,98140.52351241438,2.6928279341100758e-05,3.4564759607001644e-05,0.0
663,663,528,587,2010,,"(46.604, -68.621)","(47.05223, -68.70067)","(46.604, -68.621)",50.198012817083715,0.0,0.0,0.0,0.0,0.0,0.0,46.604,47.05223,"(47.25, -68.75)",275.14254262218736,276.1392051069704,0.004259437303160816,0.0045711848549129675,98015.57071917808,98031.45523865582,2.9467469064936104e-05,3.5321522244984857e-05,0.0
664,664,528,1322,2010,,"(46.604, -68.621)","(46.54732, -68.69721)","(46.604, -68.621)",8.592275368221538,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.54732,"(46.75, -68.75)",275.19748348079315,276.2370721999913,0.004351713814356393,0.004617931017188035,98130.11025791951,98140.52351241438,2.6928279341100758e-05,3.4564759607001644e-05,0.0
665,665,528,591,2010,,"(46.604, -68.621)","(46.49241, -68.69426)","(46.604, -68.621)",13.617731494889624,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.49241,"(46.25, -68.75)",275.48376525460856,276.56153382601804,0.004426552374585649,0.004659678911860365,98267.10253638698,98275.10730415239,2.6753303417048572e-05,3.540535773605276e-05,0.0
666,666,528,591,2010,,"(46.604, -68.621)","(46.49241, -68.69426)","(46.604, -68.621)",13.617731494889624,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.49241,"(46.25, -68.75)",275.48376525460856,276.56153382601804,0.004426552374585649,0.004659678911860365,98267.10253638698,98275.10730415239,2.6753303417048572e-05,3.540535773605276e-05,0.0
668,668,502,1289,2010,GrandIsle,"(47.151, -68.135)","(47.2234, -68.68509)","(47.151, -68.135)",42.46106959845326,0.0,0.0,0.0,0.0,0.0,0.0,47.151,47.2234,"(47.25, -68.75)",275.14254262218736,276.1392051069704,0.004259437303160816,0.0045711848549129675,98015.57071917808,98031.45523865582,2.9467469064936104e-05,3.5321522244984857e-05,0.0
669,669,562,1388,2010,Stacyville,"(45.89597, -68.4966)","(46.15269, -68.67162)","(45.89597, -68.4966)",31.589343166042987,0.0,0.0,0.0,0.0,0.0,0.0,45.89597,46.15269,"(46.25, -68.75)",275.48376525460856,276.56153382601804,0.004426552374585649,0.004659678911860365,98267.10253638698,98275.10730415239,2.6753303417048572e-05,3.540535773605276e-05,0.0
671,671,5,1192,2010,OldTownCty,"(44.9, -68.71)","(45.03093, -68.65941)","(44.9, -68.71)",15.087879413756996,0.043165,0.0,0.0,0.0,0.0,0.0,44.9,45.03093,"(45.25, -68.75)",276.3648104837496,277.7319772380672,0.004712195423741022,0.004995206998177109,99210.88636558219,99201.65698844178,2.819197814007103e-05,3.913591186295882e-05,0.0
672,672,591,952,2010,,"(45.17, -68.68)","(45.40382, -68.65664)","(45.17, -68.68)",26.05068548710731,0.043307,0.0,0.0,0.0,0.0,0.0,45.17,45.40382,"(45.25, -68.75)",276.3648104837496,277.7319772380672,0.004712195423741022,0.004995206998177109,99210.88636558219,99201.65698844178,2.819197814007103e-05,3.913591186295882e-05,0.0
673,673,570,1222,2010,,"(45.721, -68.629)","(45.67829, -68.65639)","(45.721, -68.629)",5.20429011198591,0.0,0.0,0.0,0.0,0.0,0.0,45.721,45.67829,"(45.75, -68.75)",275.60160788967187,276.88446877884536,0.004509344495982777,0.004769138194906016,99062.56602097602,99055.89602418664,2.7919820539996275e-05,3.7727002199560846e-05,0.0
674,674,1011,1806,2010,,"(45.28, -68.86)","(45.43654, -68.65379)","(45.28, -68.86)",23.743172133561572,0.038462,0.0,0.0,0.0,0.0,0.0,45.28,45.43654,"(45.25, -68.75)",276.3648104837496,277.7319772380672,0.004712195423741022,0.004995206998177109,99210.88636558219,99201.65698844178,2.819197814007103e-05,3.913591186295882e-05,0.0
675,675,591,196,2010,,"(45.17, -68.68)","(45.21192, -68.65362)","(45.17, -68.68)",5.099215109833605,0.043307,0.0,0.0,0.0,0.0,0.0,45.17,45.21192,"(45.25, -68.75)",276.3648104837496,277.7319772380672,0.004712195423741022,0.004995206998177109,99210.88636558219,99201.65698844178,2.819197814007103e-05,3.913591186295882e-05,0.0
677,677,528,1620,2010,,"(46.604, -68.621)","(46.38169, -68.65299)","(46.604, -68.621)",24.833928445424363,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.38169,"(46.25, -68.75)",275.48376525460856,276.56153382601804,0.004426552374585649,0.004659678911860365,98267.10253638698,98275.10730415239,2.6753303417048572e-05,3.540535773605276e-05,0.0
678,678,25,1004,2010,Orland,"(44.57, -68.69)","(44.5186, -68.64644)","(44.57, -68.69)",6.678843087442185,0.025641,0.0,0.0,0.0,0.0,0.0,44.57,44.5186,"(44.75, -68.75)",277.0437466556079,278.57282861160905,0.004848391961183488,0.005202438120693494,99353.41361836472,99334.54549978596,2.7454380357384052e-05,4.0104838145033935e-05,0.0
679,679,562,1044,2010,Stacyville,"(45.89597, -68.4966)","(45.91522, -68.63739)","(45.89597, -68.4966)",11.13214504886866,0.0,0.0,0.0,0.0,0.0,0.0,45.89597,45.91522,"(45.75, -68.75)",275.60160788967187,276.88446877884536,0.004509344495982777,0.004769138194906016,99062.56602097602,99055.89602418664,2.7919820539996275e-05,3.7727002199560846e-05,0.0
680,680,528,1143,2010,,"(46.604, -68.621)","(46.61638, -68.63716)","(46.604, -68.621)",1.8510838457330394,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.61638,"(46.75, -68.75)",275.19748348079315,276.2370721999913,0.004351713814356393,0.004617931017188035,98130.11025791951,98140.52351241438,2.6928279341100758e-05,3.4564759607001644e-05,0.0
681,681,528,1143,2010,,"(46.604, -68.621)","(46.61638, -68.63716)","(46.604, -68.621)",1.8510838457330394,0.0,0.0,0.0,0.0,0.0,0.0,46.604,46.61638,"(46.75, -68.75)",275.19748348079315,276.2370721999913,0.004351713814356393,0.004617931017188035,98130.11025791951,98140.52351241438,2.6928279341100758e-05,3.4564759607001644e-05,0.0
