"","unique.id","town.name","state","latitude","longitude","oaks.wt"
"539",962,NA,NA,41.3223,-74.9314,0.408163
"540",963,NA,NA,41.32,-77.55,0.325581
"541",964,NA,NA,41.31,-77.95,0.390864
"542",967,NA,NA,41.2907,-75.2565,0.108333
"543",968,"Chesecocks Paten",NA,41.25,-74.12,0.617587
"544",970,NA,NA,41.24,-77.64,0.360464
"545",972,NA,NA,41.23,-77.81,0.256199
"546",975,NA,NA,41.2135,-75.0821,0.472441
"547",976,NA,NA,41.19,-75.51,0
"548",977,NA,NA,41.15,-77.97,0.291005
"549",978,NA,NA,41.1469,-74.9909,0.54386
"550",979,NA,NA,41.12,-74.78,0.805469
"551",980,NA,NA,41.1,-75.83,0.320755
"552",986,NA,NA,40.77,-77.57,0.466095
"553",987,NA,NA,40.66,-77.92,0.494382
"554",991,NA,NA,40.49,-77.57,0.5125
"555",992,NA,NA,40.42,-77.68,0.513888
"556",995,NA,NA,40.34,-77.79,0.657589
"557",998,NA,NA,40.4,-77.47,0.649038
"558",1000,NA,NA,40.29,-78.12,0.586451
"559",1001,NA,NA,40.22,-77.55,0.646708
"560",1002,NA,NA,40.17,-77.68,0.65625
"561",1004,NA,NA,40.1,-78.14,0.571428
"562",1005,NA,NA,40.08,-77.29,0.308036
"563",1006,NA,NA,39.99,-77.35,0.158879
"564",1008,NA,NA,39.8,-78.55,0.585527
"565",1010,NA,NA,45.31,-69.05,0
"566",1011,NA,NA,45.28,-68.86,0.038462
"567",1013,"Industry","ME",44.7976,-70.0946,0
"568",1015,"Norfolk","NY",44.76,-74.91,0.025641
"569",1016,"Industry","ME",44.676,-69.988,0.013514
"570",1017,"Swanville","ME",44.61,-69.05,0.013889
"571",1018,"Duane","NY",44.61,-74.27,0.005917
"572",1019,"Swanville","ME",44.49,-69.06,0.010204
"573",1020,NA,NA,44.43,-69.67,0.3
"574",1021,NA,NA,44.39,-69.18,0.012821
"575",1025,"NorthHaven","ME",44.09,-68.86,0.012987
"576",1027,NA,NA,43.71,-75.13,0
"577",1042,"Nelson","NY",42.88,-75.69,0
"578",1044,"Nelson","NY",42.78,-75.75,0
"579",1046,NA,NA,42.61,-74.41,0.119048
"580",1049,NA,NA,42.51,-74.63,0
"581",1050,"PELHAM","MA",42.3833,-72.4083,0.423237
"582",1052,"BELCHERTOWN","MA",42.28,-72.41,0.392406
"583",1055,"North Harmony","NY",42.09,-79.46,0.076389
"584",1056,"French Creek","NY",42.09,-79.67,0
"585",1057,"North Harmony","NY",42.02,-79.67,0.007874
"586",1058,NA,NA,41.98,-79.75,0
"587",1061,NA,NA,41.95,-76.78,0.055556
"588",1062,NA,NA,41.95,-79.14,0.262626
"589",1065,NA,NA,41.94,-79.35,0.06
"590",1066,NA,NA,41.93,-71.69,0.760735
"591",1067,NA,NA,41.93,-75.83,0
"592",1068,NA,NA,41.93,-79.46,0.055556
"593",1069,NA,NA,41.9,-79.82,0
"594",1071,NA,NA,41.91,-77.96,0
"595",1072,NA,NA,41.9,-76.18,0.010101
"596",1074,NA,NA,41.9,-78.85,0.03125
"597",1078,NA,NA,41.88,-78.17,0.029412
"598",1080,NA,NA,41.87,-71.36,0.662467
"599",1082,NA,NA,41.86,-78.96,0.25
"600",1084,NA,NA,41.84,-79.57,0.053571
"601",1085,NA,NA,41.84,-79.32,0.31132
"602",1086,NA,NA,41.83,-76.61,0.178571
"603",1087,NA,NA,41.82,-79.45,0.034483
"604",1088,NA,NA,41.8,-76.5,0.414894
"605",1089,NA,NA,41.8,-79.84,0.065574
"606",1090,NA,NA,41.8,-79.97,0.191011
"607",1091,NA,NA,41.79,-71.67,0.741935
"608",1092,NA,NA,41.79,-76.04,0.025126
"609",1100,NA,NA,41.74,-77.95,0
"610",1101,NA,NA,41.74,-79.38,0.202381
"611",1102,NA,NA,41.73,-79.03,0
"612",1103,NA,NA,41.73,-79.2,0.140351
"613",1104,NA,NA,41.72,-78.89,0.004
"614",1105,NA,NA,41.72,-79.57,0.06
"615",1106,NA,NA,41.71,-76.21,0.206897
"616",1107,NA,NA,41.71,-79.13,0.015625
"617",1108,NA,NA,41.71,-78.64,0
"618",1109,NA,NA,41.7,-78.17,0
"619",1110,NA,NA,41.69,-79.85,0.180556
"620",1111,NA,NA,41.69,-78.38,0.006098
"621",1114,NA,NA,41.66,-79.32,0.267857
"622",1115,NA,NA,41.65,-76.59,0.028037
"623",1116,NA,NA,41.65,-76.46,0.179894
"624",1117,NA,NA,41.64,-76.78,0.022727
"625",1118,NA,NA,41.62,-80.14,0.475805
"626",1121,NA,NA,41.54,-79.85,0.494504
"627",1124,NA,NA,41.55,-77.96,0.055046
"628",1125,NA,NA,41.54,-78.88,0
"629",1126,NA,NA,41.54,-78.72,0
"630",1127,NA,NA,41.53,-79.17,0.161765
"631",1128,NA,NA,41.53,-79.03,0
"632",1130,NA,NA,41.53,-76.7,0
"633",1131,NA,NA,41.52,-79.45,0.488094
"634",1132,NA,NA,41.52,-76.49,0
"635",1133,NA,NA,41.51,-79.31,0.367347
"636",1134,NA,NA,41.51,-78.32,0.097436
"637",1135,NA,NA,41.51,-78.54,0.007519
"638",1136,NA,NA,41.5,-78.15,0.116505
"639",1138,NA,NA,41.46,-75.39,0
"640",1139,NA,NA,41.44,-75.77,0.442307
"641",1140,NA,NA,41.44,-77.89,0.253588
"642",1142,NA,NA,41.4,-80.22,0.257009
"643",1144,NA,NA,41.39,-75.86,0.41791
"644",1145,NA,NA,41.39,-78.06,0.26506
"645",1146,NA,NA,41.38,-79.54,0.586206
"646",1147,NA,NA,41.37,-79.02,0.123377
"647",1148,NA,NA,41.37,-79.44,0.524476
"648",1150,NA,NA,41.36,-79.21,0.438356
"649",1151,NA,NA,41.36,-78.88,0.038889
"650",1152,NA,NA,41.35,-76.21,0
"651",1155,NA,NA,41.32,-78.74,0.054054
"652",1159,NA,NA,41.3,-78.55,0.162162
"653",1160,NA,NA,41.3,-78.34,0.125
"654",1161,NA,NA,41.3,-78.17,0.384615
"655",1162,NA,NA,41.2955,-75.3904,0.017241
"656",1170,NA,NA,41.23,-75.6,0.041667
"657",1172,NA,NA,41.21,-77.45,0.40088
"658",1174,NA,NA,41.19,-78.88,0.058427
"659",1175,NA,NA,41.18,-75.39,0.059701
"660",1176,NA,NA,41.18,-79.03,0.282179
"661",1177,NA,NA,41.16,-75.69,0.153846
"662",1179,NA,NA,41.15,-79.28,0.5375
"663",1181,NA,NA,41.13,-78.58,0.115942
"664",1182,NA,NA,41.13,-78.19,0.404761
